"Pacific University","2043 College Way Forest Grove Oregon 97116","97116","@pacific.edu",45.5361,-123.1255
"Loyola Marymount University","One Lmu Drive Los Angeles California 90045-2659","90045","@lmu.edu",33.9681,-118.422
"Eastern Illinois University","600 Lincoln Avenue Charleston Illinois 61920","61920","@eiu.edu",39.4946,-88.1726
"Fountainhead College of Technology","3203 Tazewell Pke Knoxville Tennessee 37918","37918","@fountainheadcollege.edu",36.051,-83.9228
"Mid-Continent University","99 Powell Rd E Mayfield Kentucky 42066-9007","42066","@midcontinent.edu",36.8177,-88.6492
"Monmouth College","700 E Broadway Monmouth Illinois 61462-1998","61462","@monm.edu",40.9115,-90.6302
"University of Hartford","200 Bloomfield Ave West Hartford Connecticut 06117-1599","06117","@hartford.edu",41.7936,-72.7162
"Tarleton State University","1333 W. Washington Stephenville Texas 76401-0000","76401","@tarleton.edu",32.220799,-98.2072
"Ohio Northern University","525 S. Main St Ada Ohio 45810-1599","45810","@onu.edu",40.7662,-83.8233
"Louisiana State University Health Sciences Center-Shreveport","1501 Kings Hwy Shreveport Louisiana 71103","71103","@Lsuhsc.edu",32.4924,-93.7719
"Alliant International University","One Beach Street Suite 100 San Francisco California 94133-1221","94133","@alliant.edu",37.808,-122.4092
"The College of Saint Rose","432 Western Ave Albany New York 12203-1490","12203","@mail.strose.edu",42.6645,-73.7859
"Olivet College","320 South Main Street Olivet Michigan 49076","49076","@olivetcollege.edu",42.4412,-84.9019
"Forest Institute of Professional Psychology","2885 W Battlefield Rd Springfield Missouri 65807","65807","@forest.edu",37.1663,-93.3172
"California Baptist University","8432 Magnolia Ave Riverside California 92504-3297","92504","@calbaptist.edu",33.9315,-117.4265
"New Mexico Institute of Mining and Technology","801 Leroy Place Socorro New Mexico 87801","87801","@nmt.edu",34.037,-106.6959
"Truman State University","100 E Normal Kirksville Missouri 63501-4221","63501","@truman.edu",40.1899,-92.5829
"Kansas City Art Institute","4415 Warwick Blvd Kansas City Missouri 64111-1874","64111","@kcai.edu",39.0472,-94.5841
"Edgewood College","1000 Edgewood College Drive Madison Wisconsin 53711-1997","53711","@edgewood.edu",43.0579,-89.4234
"California Lutheran University","60 W Olsen Rd Thousand Oaks California 91360-2787","91360","@callutheran.edu",34.2255,-118.8765
"University of Florida","355 Tigert Hall Gainesville Florida 32611-3115","32611","@ufl.edu",29.6447,-82.3514
"Gemological Institute of America","5345 Armada Dr Carlsbad California 92008","92008","@gia.edu",33.153399,-117.3261
"University of North Florida","1 UNF Drive Jacksonville Florida 32224-2645","32224","@ufl.edu",30.2723,-81.5073
"Argosy University-San Francisco Bay Area","1005 Atlantic Avenue Alameda California 94501","94501","@argosyu.edu",37.7716,-122.2632
"Pennsylvania State University-Penn State Greater Allegheny","4000 University Dr McKeesport Pennsylvania 15131-7644","15131","@psu.edu",40.3444,-79.8264
"Chadron State College","1000 Main St Chadron Nebraska 69337-2690","69337","@csc.edu",42.8211,-103.0017
"Mount Union College","1972 Clark Ave. Alliance Ohio 44601-3993","44601","@muc.edu",40.902,-81.1091
"Hobart William Smith Colleges","Geneva New York 14456","14456","@hws.ed",42.8545,-76.9878
"McDaniel College","2 College Hill Westminster Maryland 21157","21157","@mcdaniel.edu",39.5569,-76.9843
"Long Island University-Brentwood","100 Second Avenue Brentwood New York 11717-5300","11717","@liu.edu",40.7781,-73.2389
"North Central University","910 Elliot Ave Minneapolis Minnesota 55404-1391","55404","@northcentral.edu",44.9695,-93.2612
"Grace University","1311 S 9th St Omaha Nebraska 68108-3629","68108","@grace.edu",41.2463,-95.928
